hz,b,c,ph,am,,,,
1710000000,-1.86E+01,1.65E+02,-2.25E+01,8.03E+01,-2.26E+01,8.01E+01,-2.53E+01,-1.76E+02
1714900000,-1.88E+01,1.46E+02,-2.25E+01,3.58E+01,-2.26E+01,3.54E+01,-2.67E+01,1.07E+02
1719800000,-1.93E+01,1.26E+02,-2.23E+01,-1.04E+01,-2.24E+01,-1.01E+01,-2.83E+01,8.79E+00
1724700000,-2.02E+01,1.04E+02,-2.24E+01,-5.65E+01,-2.23E+01,-5.59E+01,-2.54E+01,-8.39E+01
1729600000,-2.15E+01,8.20E+01,-2.22E+01,-1.01E+02,-2.22E+01,-1.01E+02,-2.22E+01,-1.49E+02
1734500000,-2.33E+01,5.78E+01,-2.20E+01,-1.48E+02,-2.20E+01,-1.48E+02,-2.10E+01,1.53E+02
1739400000,-2.57E+01,2.93E+01,-2.19E+01,1.64E+02,-2.19E+01,1.65E+02,-2.16E+01,9.44E+01
1744300000,-2.86E+01,-7.36E+00,-2.21E+01,1.18E+02,-2.19E+01,1.18E+02,-2.30E+01,2.41E+01
1749200000,-3.04E+01,-5.44E+01,-2.21E+01,7.18E+01,-2.21E+01,7.10E+01,-2.24E+01,-5.56E+01
1754100000,-3.02E+01,-9.73E+01,-2.20E+01,2.46E+01,-2.22E+01,2.47E+01,-2.03E+01,-1.24E+02
1759000000,-2.90E+01,-1.29E+02,-2.22E+01,-2.31E+01,-2.23E+01,-2.13E+01,-1.93E+01,1.77E+02
1763900000,-2.84E+01,-1.54E+02,-2.26E+01,-6.91E+01,-2.23E+01,-6.84E+01,-1.98E+01,1.17E+02
1768800000,-2.84E+01,-1.76E+02,-2.27E+01,-1.14E+02,-2.26E+01,-1.16E+02,-2.09E+01,5.04E+01
1773700000,-2.94E+01,1.61E+02,-2.28E+01,-1.61E+02,-2.29E+01,-1.62E+02,-2.06E+01,-2.13E+01
1778600000,-3.15E+01,1.37E+02,-2.31E+01,1.52E+02,-2.34E+01,1.52E+02,-1.91E+01,-8.80E+01
1783500000,-3.55E+01,1.08E+02,-2.36E+01,1.07E+02,-2.36E+01,1.08E+02,-1.78E+01,-1.49E+02
1788400000,-4.34E+01,4.92E+01,-2.38E+01,6.27E+01,-2.36E+01,6.28E+01,-1.72E+01,1.50E+02
1793300000,-3.88E+01,-6.46E+01,-2.38E+01,1.60E+01,-2.38E+01,1.62E+01,-1.73E+01,8.44E+01
1798200000,-3.23E+01,-1.01E+02,-2.43E+01,-3.06E+01,-2.42E+01,-3.04E+01,-1.75E+01,1.34E+01
1803100000,-2.86E+01,-1.23E+02,-2.49E+01,-7.46E+01,-2.48E+01,-7.56E+01,-1.72E+01,-5.83E+01
1808000000,-2.63E+01,-1.41E+02,-2.51E+01,-1.18E+02,-2.53E+01,-1.19E+02,-1.65E+01,-1.25E+02
1812900000,-2.48E+01,-1.58E+02,-2.54E+01,-1.64E+02,-2.56E+01,-1.62E+02,-1.62E+01,1.72E+02
1817800000,-2.41E+01,-1.73E+02,-2.61E+01,1.53E+02,-2.58E+01,1.54E+02,-1.67E+01,1.05E+02
1822700000,-2.37E+01,1.75E+02,-2.65E+01,1.12E+02,-2.62E+01,1.10E+02,-1.78E+01,3.18E+01
1827600000,-2.34E+01,1.62E+02,-2.65E+01,7.00E+01,-2.67E+01,6.74E+01,-1.86E+01,-4.29E+01
1832500000,-2.34E+01,1.46E+02,-2.66E+01,2.66E+01,-2.70E+01,2.69E+01,-1.90E+01,-1.11E+02
1837400000,-2.38E+01,1.28E+02,-2.68E+01,-1.53E+01,-2.69E+01,-1.39E+01,-2.02E+01,-1.76E+02
1842300000,-2.46E+01,1.08E+02,-2.67E+01,-5.64E+01,-2.67E+01,-5.62E+01,-2.28E+01,1.18E+02
1847200000,-2.57E+01,8.50E+01,-2.65E+01,-9.95E+01,-2.65E+01,-9.94E+01,-2.69E+01,4.23E+01
1852100000,-2.71E+01,5.71E+01,-2.64E+01,-1.43E+02,-2.64E+01,-1.43E+02,-2.98E+01,-4.82E+01
1857000000,-2.90E+01,2.25E+01,-2.63E+01,1.75E+02,-2.63E+01,1.75E+02,-3.02E+01,-1.36E+02
1861900000,-3.05E+01,-2.21E+01,-2.61E+01,1.32E+02,-2.61E+01,1.32E+02,-3.20E+01,1.51E+02
1866800000,-3.06E+01,-7.26E+01,-2.59E+01,8.87E+01,-2.58E+01,8.92E+01,-3.94E+01,7.53E+01
1871700000,-2.88E+01,-1.11E+02,-2.55E+01,4.57E+01,-2.54E+01,4.58E+01,-3.67E+01,-9.50E+01
1876600000,-2.67E+01,-1.38E+02,-2.51E+01,1.94E+00,-2.50E+01,1.81E+00,-2.88E+01,-1.57E+02
1881500000,-2.51E+01,-1.59E+02,-2.46E+01,-4.31E+01,-2.45E+01,-4.29E+01,-2.64E+01,1.48E+02
1886400000,-2.41E+01,-1.78E+02,-2.43E+01,-8.82E+01,-2.41E+01,-8.89E+01,-2.69E+01,8.87E+01
1891300000,-2.37E+01,1.65E+02,-2.39E+01,-1.33E+02,-2.39E+01,-1.35E+02,-2.74E+01,8.60E+00
1896200000,-2.40E+01,1.48E+02,-2.34E+01,-1.80E+02,-2.36E+01,1.79E+02,-2.49E+01,-7.01E+01
1901100000,-2.50E+01,1.34E+02,-2.31E+01,1.32E+02,-2.34E+01,1.32E+02,-2.22E+01,-1.29E+02
1906000000,-2.58E+01,1.18E+02,-2.33E+01,8.44E+01,-2.33E+01,8.55E+01,-2.10E+01,1.77E+02
1910900000,-2.77E+01,9.73E+01,-2.32E+01,3.89E+01,-2.31E+01,3.91E+01,-2.10E+01,1.18E+02
1915800000,-3.09E+01,7.30E+01,-2.31E+01,-7.94E+00,-2.30E+01,-8.23E+00,-2.11E+01,5.00E+01
1920700000,-3.74E+01,4.05E+01,-2.31E+01,-5.54E+01,-2.32E+01,-5.54E+01,-2.04E+01,-2.16E+01
1925600000,-4.48E+01,-5.98E+01,-2.33E+01,-1.02E+02,-2.33E+01,-1.02E+02,-1.93E+01,-8.79E+01
1930500000,-3.56E+01,-1.27E+02,-2.34E+01,-1.47E+02,-2.34E+01,-1.47E+02,-1.84E+01,-1.50E+02
1935400000,-3.06E+01,-1.54E+02,-2.34E+01,1.66E+02,-2.34E+01,1.67E+02,-1.77E+01,1.48E+02
1940300000,-2.80E+01,-1.74E+02,-2.36E+01,1.19E+02,-2.34E+01,1.20E+02,-1.75E+01,8.43E+01
1945200000,-2.65E+01,1.70E+02,-2.39E+01,7.40E+01,-2.36E+01,7.24E+01,-1.75E+01,1.83E+01
1950100000,-2.55E+01,1.56E+02,-2.41E+01,2.87E+01,-2.41E+01,2.61E+01,-1.73E+01,-4.85E+01
1955000000,-2.49E+01,1.41E+02,-2.43E+01,-1.70E+01,-2.47E+01,-1.77E+01,-1.67E+01,-1.12E+02
1959900000,-2.48E+01,1.27E+02,-2.47E+01,-6.21E+01,-2.49E+01,-6.05E+01,-1.57E+01,-1.71E+02
1964800000,-2.49E+01,1.13E+02,-2.50E+01,-1.06E+02,-2.48E+01,-1.05E+02,-1.52E+01,1.29E+02
1969700000,-2.51E+01,9.71E+01,-2.50E+01,-1.49E+02,-2.49E+01,-1.50E+02,-1.52E+01,6.55E+01
1974600000,-2.55E+01,7.94E+01,-2.50E+01,1.65E+02,-2.51E+01,1.64E+02,-1.55E+01,-3.07E+00
1979500000,-2.61E+01,5.82E+01,-2.54E+01,1.21E+02,-2.56E+01,1.21E+02,-1.55E+01,-7.25E+01
1984400000,-2.77E+01,3.39E+01,-2.56E+01,7.79E+01,-2.56E+01,7.85E+01,-1.50E+01,-1.38E+02
1989300000,-2.92E+01,1.86E+01,-2.56E+01,3.40E+01,-2.56E+01,3.49E+01,-1.45E+01,1.59E+02
1994200000,-2.94E+01,-9.23E+00,-2.56E+01,-1.02E+01,-2.55E+01,-8.70E+00,-1.42E+01,9.37E+01
1999100000,-2.97E+01,-4.27E+01,-2.58E+01,-5.37E+01,-2.55E+01,-5.35E+01,-1.45E+01,2.40E+01
2004000000,-2.90E+01,-7.58E+01,-2.58E+01,-9.57E+01,-2.57E+01,-9.76E+01,-1.50E+01,-4.68E+01
2008900000,-2.73E+01,-1.03E+02,-2.54E+01,-1.38E+02,-2.56E+01,-1.39E+02,-1.51E+01,-1.14E+02
2013800000,-2.54E+01,-1.27E+02,-2.49E+01,1.75E+02,-2.50E+01,1.76E+02,-1.49E+01,-1.78E+02
2018700000,-2.38E+01,-1.47E+02,-2.49E+01,1.28E+02,-2.46E+01,1.28E+02,-1.55E+01,1.16E+02
2023600000,-2.26E+01,-1.65E+02,-2.51E+01,8.21E+01,-2.48E+01,7.96E+01,-1.74E+01,4.47E+01
2028500000,-2.20E+01,1.78E+02,-2.51E+01,3.58E+01,-2.53E+01,3.30E+01,-1.92E+01,-3.15E+01
2033400000,-2.20E+01,1.62E+02,-2.55E+01,-1.04E+01,-2.58E+01,-1.09E+01,-2.00E+01,-1.04E+02
2038300000,-2.24E+01,1.47E+02,-2.59E+01,-5.46E+01,-2.60E+01,-5.40E+01,-2.10E+01,-1.68E+02
2043200000,-2.31E+01,1.33E+02,-2.62E+01,-9.77E+01,-2.61E+01,-9.77E+01,-2.37E+01,1.34E+02
2048100000,-2.39E+01,1.20E+02,-2.63E+01,-1.41E+02,-2.63E+01,-1.41E+02,-2.90E+01,7.57E+01
2053000000,-2.47E+01,1.09E+02,-2.64E+01,1.75E+02,-2.64E+01,1.75E+02,-3.96E+01,1.81E+01
2057900000,-2.56E+01,9.85E+01,-2.65E+01,1.33E+02,-2.65E+01,1.32E+02,-4.68E+01,1.01E+02
2062800000,-2.65E+01,9.02E+01,-2.64E+01,8.93E+01,-2.64E+01,8.90E+01,-3.65E+01,2.73E+01
2067700000,-2.70E+01,8.28E+01,-2.64E+01,4.52E+01,-2.64E+01,4.46E+01,-3.07E+01,-5.24E+01
