Frequency (GHz)	Re(Eqn(Ef1_T14)) : Output Equations1	Re(Eqn(Ef2_T14)) : Output Equations1	Re(Eqn(Ef3_T14)) : Output Equations1	Re(Eqn(Ef4_T14)) : Output Equations1	Re(Eqn(Ef5_T14)) : Output Equations1	Re(Eqn(Ef6_T14)) : Output Equations1	Re(Eqn(Ef7_T14)) : Output Equations1	Re(Eqn(Ef8_T14)) : Output Equations1	Re(Eqn(Ef9_T14)) : Output Equations1
0	-43.4049	-44.5745	-50.9543	-51.2525	-52.7263	-57.8615	-41.7439	-41.725	-51.9692
1	-47.7766	-47.0915	-57.501	-54.1245	-54.668	-60.6989	-40.2416	-39.8311	-50.4144
2	-53.1672	-50.2076	-55.5024	-54.1762	-60.3063	-65.5525	-39.1961	-39.1031	-49.8115
3	-50.1008	-53.8882	-52.1931	-52.1159	-63.8801	-63.1593	-39.372	-39.4252	-48.1295
4	-47.0288	-56.1116	-51.8295	-51.413	-55.5447	-59.4843	-40.6075	-41.1953	-48.2074
5	-46.333	-53.6278	-53.5457	-53.526	-52.0974	-58.0194	-43.0156	-45.1877	-52.5952
6	-47.897	-50.2038	-58.3272	-60.4625	-50.1477	-56.9208	-48.7572	-47.5646	-51.9259
7	-53.1647	-47.5434	-68.7545	-54.4018	-48.4852	-55.57	-57.1018	-44.5373	-45.7172
8	-63.0893	-45.5147	-56.6263	-48.8293	-47.0568	-53.7769	-52.2424	-43.6288	-42.0848
9	-49.9351	-44.1228	-52.4265	-46.4602	-46.3917	-52.4688	-51.6401	-45.299	-41.1921
10	-45.1125	-43.5506	-51.2924	-45.7231	-46.9719	-52.614	-53.2467	-48.3566	-41.9771
11	-42.6776	-43.9085	-51.9721	-46.0613	-49.0265	-53.7688	-56.2239	-49.8367	-42.7179
12	-41.4006	-45.2214	-54.298	-47.3412	-52.3584	-53.3222	-51.9998	-47.1877	-42.9774
13	-40.8286	-47.475	-58.443	-49.4686	-54.5328	-51.2193	-47.4643	-44.3743	-43.3795
14	-40.7821	-50.6032	-60.8386	-51.5424	-51.2366	-48.8573	-43.5531	-42.068	-42.8887
15	-41.2367	-54.2732	-56.6969	-51.1823	-47.3475	-46.7273	-40.1137	-39.7622	-40.5789
16	-42.263	-57.3083	-53.0555	-48.317	-45.5611	-46.1403	-37.118	-37.291	-37.9202
17	-44.0377	-57.8041	-50.6665	-45.327	-45.2863	-46.9714	-34.8439	-35.0329	-35.6446
18	-46.9808	-57.1815	-48.8987	-43.4704	-45.8364	-48.4487	-33.5467	-33.721	-34.475
19	-52.2315	-57.6275	-47.6133	-42.8641	-46.7111	-49.6908	-33.4522	-33.5873	-34.5901
20	-59.634	-57.0191	-47.1945	-42.9938	-47.4335	-50.1109	-34.9698	-34.6824	-35.8514
21	-50.9932	-53.5262	-48.3031	-44.2563	-47.6774	-49.6902	-38.9103	-37.6216	-38.681
22	-45.1995	-50.2468	-51.592	-47.7749	-47.9872	-49.3569	-46.5183	-44.8079	-41.1343
23	-41.3013	-47.7913	-58.2121	-55.9678	-49.1949	-49.6318	-43.9561	-50.6649	-39.1315
24	-38.3594	-45.7959	-58.8492	-57.4009	-50.0832	-48.7428	-40.1274	-44.8129	-38.6896
25	-36.133	-44.1713	-52.1677	-50.4843	-47.0428	-45.4222	-40.1731	-47.7411	-40.9453
26	-34.5699	-43.1388	-49.0345	-48.2736	-43.013	-42.066	-44.2941	-59.031	-43.1897
27	-33.5999	-42.8765	-48.7421	-48.3785	-40.1691	-39.8391	-51.0858	-41.4821	-38.8325
28	-33.0362	-43.2849	-52.5802	-49.4645	-38.522	-38.7521	-40.4324	-35.6732	-34.658
